Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ACTION_HEAL,Heal at %1,Heal at %1,Soigner à %1,Curar en %1,Cura a %1,Heilen bei %1,Вылечиться в: %1,Wylecz w %1,Ošetři se u %1,Gyógyulás: %1,%1で回復
STR_ACTION_GETIN_TURRET,Get in %1 as %2,Get in %1 as %2,Monter dans %1 - %2,Entrar en %1 como %2,Sali su %1 come %2,Als %2 in %1 einsteigen,Сесть в: %1 на место: %2,Wsiądź do %1 jako %2,Nastoupit do %1 jako %2,"Beszállás %1, %2 pozícióba",%1を%2として乗せる
STR_ACTION_GETIN_CARGO,Get in %1 ride in back,Get in %1 ride in back,Grimper dans %1 - à l'arrière,Subir detrás del %1,Sali su %1 e viaggia dietro,Als Passagier in %1 einsteigen,Сесть в: %1 на место пассажира,Wsiądź do tyłu %1,Nastup do %1 dozadu,"Beszállás %1, Utas pozícióba",%1を後ろに乗せる
STR_ACTION_GETIN_GUNNER,Get in %1 as gunner,Get in %1 as gunner,Grimper dans %1 - tireur,"Subir al %1, artillero",Sali su %1 come artigliere,Als Bordschütze in %1 einsteigen,Сесть в: %1 на место стрелка,Wsiądź do %1 jako strzelec,Nastup do %1 jako střelec,"Beszállás %1, Lövész pozícióba",%1を砲手として乗せる
STR_DISP_XBOX_HINT_OK,,,,,,,,,,,
STR_DISP_XBOX_HINT_ADVANCED,,,,,,,,,,,
STR_DISP_XBOX_MULTI_ASSIGN_ALL,,,,,,,,,,,
STR_XBOX_MULTI_HOST_SETTINGS,,,,,,,,,,,
STR_XBOX_STATS_DOWN,,,,,,,,,,,
STR_XBOX_MULTI_HOST_SETTINGS_ADV,,,,,,,,,,,
STR_XBOX_STATS_BOTTOM,,,,,,,,,,,
STR_XBOX_STATS_UP,,,,,,,,,,,
STR_LOGSUBJECT_BRIEFING,Tasks,Tasks,Briefing,Informando,Istruzioni,Aufgaben,Задачи,Zadania,Úkoly,Feladatok,任務
STR_LOGSUBJECT_DIARY,Notes,Notes,Notes,Notas,Diario,Notizen,Заметки,Uwagi,Diář,Eligazítás,ノート
STR_XBOX_DIFF_REGULAR,Regular,Regular,Normal,Regular,Regolare,Kadett,Солдат,Kadet,Voják,Sorkatona,レギュラー
STR_XBOX_DIFF_VETERAN,Veteran,Veteran,Vétéran,Veterano,Veterano,Veteran,Ветеран,Weteran,Veterán,Veterán,ベテラン
STR_DISP_XBOX_MOVIE_RESUME,,,,,,,,,,,
STR_DISP_XBOX_MOVIE_AGAIN,,,,,,,,,,,
STR_DISP_HOST,,,,,,,,,,,
STR_DISP_XBOX_MOVIE_SKIP,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_CURSING,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_BAD NAME,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_CHEATING,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_SCREAMING,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_COMPLAINTS,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_FEEDBACK_TITLE,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_GOOD,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_GREAT,,,,,,,,,,,
STR_DISP_XBOX_MULTI_FILTER_PLAYERS,,,,,,,,,,,
STR_SHOW_GAMER_CARD,,,,,,,,,,,
STR_XBOX_STATS_TOP,,,,,,,,,,,
STR_XBOX_STATS_MY_POSITION,,,,,,,,,,,
STR_FEEDBACK_HARASS,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_THREATS,,,,,,,,,,,
STR_FEEDBACK_SPAM,,,,,,,,,,,
STR_FEEDBACK_OFFENSIVE,,,,,,,,,,,
STR_DISP_XBOX_FRIEND_CANCEL_REQUEST,,,,,,,,,,,
STR_XBOX_VOICE_SEND,,,,,,,,,,,
STR_XBOX_VOICE_FEEDBACK,,,,,,,,,,,
STR_DISP_XBOX_HINT_DETAILS,,,,,,,,,,,
STR_DISP_XBOX_FRIEND_PLAY_MESSAGE,,,,,,,,,,,
STR_DISP_XBOX_FRIEND_ACCEPT_REQUEST,,,,,,,,,,,
STR_DISP_XBOX_FRIEND_DECLINE_REQUEST,,,,,,,,,,,
STR_DISP_XBOX_FRIEND_STOP_LONG,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_ASK_VOICE,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_FEEDBACK,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_CANCEL,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_REMOVE,,,,,,,,,,,
STR_DISP_XBOX_HINT_PRICE,,,,,,,,,,,
STR_DISP_XBOX_MULTI_PLAYER_STATE,,,,,,,,,,,
STR_DISP_XBOX_KICK,,,,,,,,,,,
STR_DISP_XBOX_PLAYER_ASK,,,,,,,,,,,
STR_ACTION_SCUDSTART,Launch Scud,Launch Scud,Lancer Scud,Lanzar Scud,Lancia Scud,Scud abfeuern,Запустить ОТР,Wystrzel Scuda,Odpálit Scudu,Scud indítása,スカッドミサイル発射
STR_ACTION_SCUDLAUNCH,Prepare Scud launch,Prepare Scud launch,Préparer lancement Scud,Preparar lanzar Scud,Prepara lancio Scud,Scud-Start vorbereiten,Подготовить пуск ОТР,Przygotowanie do wystrzelenia Scuda,Připravit odpálení Scudu,Scud indítás előkészítése,スカッドミサイル発射を準備
STR_ACTION_FIRE_PUT_DOWN,Put out fire,Put out fire,Éteindre incendie,Apagar fuego,Spegni fuoco,Feuer löschen,Потушить огонь,Zgaś ogień,Uhasit oheň,Tűz eloltása,火を消す
STR_ACTION_FIRE_INFLAME,Light fire,Light fire,Allumer incendie,Encender fuego,Accendi fuoco,Feuer entzünden,Зажечь огонь,Rozpal ogień,Zapálit oheň,Tűz meggyújtása,火を点ける
STR_ACTION_INGAME_MENU,Command menu,Command menu,Menu d'ordres,Menú de órdenes,Menu di comando,Befehlsmenü,Меню команд,Menu dowodzenia,Velitelské menu,Parancs menü,命令メニュー
STR_ACTION_DEACTIVATE_MINE,Deactivate mine,Deactivate mine,Désamorcer mine,Desactivar mina,Disattiva mina,Mine deaktivieren,Обезвредить мину,Rozbrój minę,Deaktivovat minu,Akna hatástalanítása,地雷を処理
STR_ACTION_TAKE_MINE,Take mine,Take mine,Prendre mine,Coger mina,Prendi mina,Mine nehmen,Взять мину,Weź minę,Vezmi minu,Akna felszedése,地雷を取る
STR_ACTION_SCUDCANCEL,Cancel Scud launch,Cancel Scud launch,Annuler lancement Scud,Cancelar lanzar Scud,Annulla lancio Scud,Scud-Start abbrechen,Остановить пуск ОТР,Anuluj wystrzelenie Scuda,Zrušit odpálení Scudu,Scud indítás megszakítása,スカッドミサイル発射をキャンセル
STR_ACTION_GEAR,View contents,View contents,View contents,View contents,View contents,View contents,View contents,View contents,View contents,View contents,View contents
STR_ACTION_TEAM_SWITCH,Team switch,Team switch,Changement d'équipe,Cambio de pelotón,Cambio di squadra,Teamwechsel,Смена роли,Przełącz drużynę,Přepínání jednotek,Csapatváltás,チーム切り換え
STR_ACTION_MARK_WEAPON,Collect weapon,Collect weapon,Récupérer arme,Recoger arma,Raccogli arma,Waffe aufnehmen,Взять оружие,Weź broń,Sebrat zbraň,Fegyver felvétele,武器を収集
STR_ACTION_MARK_ENTITY,Collect from %1,Collect from %1,Récupérer sur %1,Recoger de %1,Raccogli da %1,Von %1 aufnehmen,Взять из %1,Weź od %1,Sebrat z %1,Felvétel: %1,%1から収集
STR_ACTION_ASSEMBLE,Assemble %1,Assemble %1,Monter %1,Monta %1,Assemblare %1,%1 montieren,Соединить %1,Rozstaw %1,Složit %1,Assemble %1,集める：%1
STR_ACTION_DROP_BAG,Drop %1,Drop %1,Lâcher %1,Deja %1,Lasciare %1,%1 ablegen,Сбросить %1,Wyrzuć %1,Položit %1,Drop %1,投下：%1
STR_ACTION_TAKE_BAG,Take %1,Take %1,Prendre %1,Coge %1,Prendi %1,%1 nehmen,Взять %1,Weź %1,Vzít %1,Take %1,取る：%1
STR_ACTION_OPEN_BAG,Open %1,Open %1,Ouvrir %1,Abre %1,Apri %1,%1 öffnen,Открыть %1,Otwórz %1,Otevřít %2,Open %1,開ける：%1
STR_ACTION_HIDE_BODY,Hide body,Hide body,Cacher corps,Ocultar cuerpo,Nascondi corpo,Leiche verstecken,Спрятать тело,Ukryj zwłoki,Schovat mrtvolu,Test elrejtése,身体を隠す
STR_ACTION_TOUCH_OFF,Touch Off %1 bomb(s),Touch Off %1 bomb(s),Déclencher %1 bombe(s),Detonar %1 bomba(s),Innesca bombe: %1,%1 Bombe(n) zünden,Взорвать бомбы: %1,Zdetonuj %1 bombę(y),Odpálit %1 nálož(e),%1 bomba robbantása,%1爆弾を投下
STR_ACTION_TO_CARGO,To back seat,To back seat,Vers place arrière,Al asiento trasero,Sul sedile posteriore,Zum Rücksitz,На место пассажира,Siedzenie pasażera,Na pozici vzadu,Hátsó ülésbe,後部座席へ
STR_ACTION_TO_TURRET,To %2's seat,To %2's seat,Vers place de %2,Al asiento de %2,Al posto di %2,Zum %2-Sitz,На место: %2,Na stanowisko %2,Na sedadlo %2,%2 ülésbe,%2's席へ
STR_ACTION_DEACTIVATE,Deactivate bomb,Deactivate bomb,Désamorcer bombe,Desactivar bomba,Disattiva bomba,Bombe deaktivieren,Обезвредить бомбу,Rozbrój bombę,Deaktivovat bombu,Bomba hatástalanítása,爆弾を処理
STR_ACTION_TAKEON_GOGGLES,Put on NV goggles,Put on NV goggles,Mettre JVN,Ponerse sistema de visión nocturna,Mettiti occhiali VN,Nachtsichtbrille aufsetzen,Надеть ПНВ,Włóż gogle noktowizyjne,Nasadit NV brýle,Éjjellátó felvétele,NVゴーグルを付ける
STR_ACTION_SET_TIMER,Set timer +%1 sec. (%2 remaining),Set timer +%1 sec. (%2 remaining),Régler minuterie +%1 sec (%2 rest.),Preparar temporizador +%1 s. (Quedan %2),Imposta timer +%1 sec (%2 rim.),Zünder auf +%1 Sek. einstellen. (noch %2),Установить таймер +%1 сек. (осталось %2),Ustaw zapalnik +%1 s (%2 pozostaje),Nastav časovač +%1 vteřin (%2 zbývá),Időzítő beállítása +%1 másodperc (%2 maradt),タイマーを+%1秒に設定（残り%2）
STR_ACTION_START_TIMER,Set timer on (%1 seconds),Set timer on (%1 seconds),Régler minuterie sur (%1 sec),Activar temporizador (%1 segundos),Imposta timer su (%1 sec),Zünder auf (%1 Sekunden) einstellen,Установить таймер (%1 секунд),Włącz zapalnik (%1 sekund),Nastav časovač na (%1 vteřin),Időzítő beállítása (%1 másodperc),タイマーを設定（%1秒）
STR_ACTION_MANUAL_FIRE_CANCEL,Cancel manual fire,Cancel manual fire,Annuler tir manuel,Cancelar fuego manual,Disattiva fuoco manuale,Manuelles Feuern abbrechen,Отмена ручного управления огнем,Anuluj ogień ręczny,Zrušit manuální střelbu,Kézi tűzvezérlés ki,手動発射をキャンセル
STR_ACTION_STROKEFIST,Strike with fist,Strike with fist,Frapper du poing,Atacar con el puño,Colpisci col pugno,Mit Faust zuschlagen,Ударить кулаком,Uderz pięścią,Udeř pěstí,Lesújtás ököllel,手で攻撃
STR_ACTION_TAKEOFF_GOGGLES,Take off NV goggles,Take off NV goggles,Enlever JVN,Quitarse sistema de visión nocturna,Togliti occhiali VN,Nachtsichtbrille absetzen,Снять ПНВ,Zdejmij gogle noktowizyjne,Sundat NV brýle,Éjjellátó levétele,NVゴーグルを外す
STR_ACTION_MANUAL_FIRE,Manual fire,Manual fire,Tir manuel,Fuego manual,Fuoco manuale,Manuelles Feuern,Ручное управление огнем,Ogień ręczny,Manuální střelba,Kézi tűzvezérlés,手動発射
STR_ACTION_LADDERDOWN,Climb Ladder Down,Climb Ladder Down,Descendre échelle,Bajar escalera,Scendi la scala,Leiter herabsteigen,Спуститься по лестнице,Zejdź po drabinie,Slézt po zebriku,Lemászás a létráról,上昇ラダー：下げる
STR_ACTION_LADDEROFF,Drop Down Ladder,Drop Down Ladder,Lâcher échelle,Soltar escalera,Butta giù la scala,Leiter loslassen,Сбросить лестницу,Wyrzuć drabinę,Pusť žebřík,Leugrás a létráról,ラダーを下げる
STR_ACTION_STROKEGUN,Strike with weapon,Strike with weapon,Frapper avec arme,Atacar con arma,Colpisci con arma,Mit Waffe zuschlagen,Ударить прикладом,Uderz bronią,Udeř zbraní,Lesújtás a fegyverrel,武器で攻撃
STR_ACTION_LADDERUP,Climb Ladder Up,Climb Ladder Up,Grimper échelle,Subir escalera,Sali la scala,Leiter hochsteigen,Подняться по лестнице,Wejdź po drabinie,Vylézt po žebříku,Létrán felmászás,上昇ラダー：上げる
STR_ACTION_DROPTAKEWEAPON,Take %1 (drop %2)%3,Take %1 (drop %2)%3,Prendre %1 (aband. %2)%3,Tomar %1 (soltar %2)%3,Prendi %1 (lascia %2)%3,%1 aufnehmen (%2 ablegen)%3,Взять %1 (выбросить %2)%3,Weź %1 (wyrzuć %2)%3,Vezmi si %1 (polož %2)%3,%1 felvétele ( %2 helyett)%3,%1を取る (投下：%2)%3
STR_ACTION_TAKEWEAPON,Take %1%2,Take %1%2,Prendre %1%2,Tomar %1%2,Prendi %1%2,%1%2 nehmen,Взять: %1%2,Weź %1%2,Vezmi %1%2,%1%2 felvétele,%1%2を取る
STR_ACTION_DROPTAKEMAGAZINE,Take %1 (drop %2)%3,Take %1 (drop %2)%3,Prendre %1 (aband. %2)%3,Tomar %1 (soltar %2)%3,Prendi %1 (lascia %2)%3,%1 aufnehmen (%2 ablegen)%3,Взять %1 (выбросить %2)%3,Weź %1 (wyrzuć %2)%3,Vezmi si %1 (polož %2)%3,%1 felvétele ( %2 helyett)%3,%1を取る (投下：%2)%3
STR_ACTION_TAKEMAGAZINE,Take %1%2,Take %1%2,Prendre %1%2,Tomar %1%2,Prendi %1%2,%1%2 nehmen,Взять: %1%2,Weź %1%2,Vezmi %1%2,%1%2 felvétele,%1%2を取る
STR_ACTION_RETURNFLAG,Return Flag,Return Flag,Rapporter drapeau,Devolver bandera,Riporta bandiera,Flagge zurückbringen,Вернуть флаг,Zwróć flagę,Vrať vlajku,Zászló visszatétele,フラグを戻す
STR_ACTION_TAKEFLAG,Take Flag,Take Flag,Prendre drapeau,Tomar bandera,Prendi la bandiera,Flagge nehmen,Взять флаг,Weź flagę,Seber vlajku,Zászló felvétele,フラグを取る
STR_ACTION_TURNOUT,Turn out,Turn out,S'exposer,Asomarse,Sporgiti,Luke öffnen,Выглянуть наружу,Oddalenie,Vylézt,Kibújás,外側にターン
STR_ACTION_TURNIN,Turn in,Turn in,Rentrer,Meterse,Rientra,Luke schließen,Забраться внутрь,Zbliżenie,Zalézt,Bebújás,内側にターン
STR_ACTION_WEAPONONBACK,%1 on back,%1 on back,%1 sur le dos,%1 espalda,%1 riposta,%1 auf dem Rücken,%1 на спину,%1 na plecach,%1 na záda,%1 hátra,背中に%1
STR_ACTION_WEAPONINHAND,%1 in hand,%1 in hand,%1 en main,%1 en la mano,%1 in mano,%1 in der Hand,%1 в руки,%1 w ręku,%1 do ruky,%1 kézbe,手に%1
STR_ACTION_CANCEL_LAND,Landing autopilot off,Landing autopilot off,Sans pilote auto. atterr.,Piloto automático desactivado,Pilota autom. atterr. disinserito,Lande-Autopilot aus,Отключить посадочный автопилот,Lądowanie na autopilocie wyłączone,Vypnout autopilota,Robotpilóta kikapcsolása,着陸オートパイロット：オフ
STR_ACTION_LAND,Landing autopilot,Landing autopilot,Pilote auto. atterr.,Aterrizaje automático,Pilota autom. atterr.,Lande-Autopilot an,Посадочный автопилот,Lądowanie na autopilocie,Přistávací autopilot,Robotpilóta (leszálláshoz),着陸オートパイロット
STR_ACTION_TO_PILOT,To pilot's seat,To pilot's seat,Vers place pilote,Al asiento del piloto,Al posto del pilota,Zum Pilotensitz,На место пилота,Na stanowisko pilota,Na pozici pilota,Pilóta ülésbe,パイロット席へ
STR_ACTION_TO_DRIVER,To driver's seat,To driver's seat,Vers place conducteur,Al asiento del conductor,Al posto del guidatore,Zum Fahrersitz,На место водителя,Na stanowisko kierowcy,Na pozici řidice,Sofőr ülésbe,ドライバー席へ
STR_ACTION_TO_COMMANDER,To commander's seat,To commander's seat,Vers place chef de bord,Al asiento del comandante,Al posto del comandante,Zum Kommandantensitz,На место командира,Stanowisko dowódcy,Na pozici velitele,Parancsnoki ülésbe,指揮官席へ
STR_ACTION_TO_GUNNER,To gunner's seat,To gunner's seat,Vers place tireur,Al asiento del artillero,Al posto dell’artigliere,Zum Schützensitz,На место стрелка,Na stanowisko strzelca,Na pozici střelce,Lövész ülésbe,砲手席へ
STR_ACTION_REARM,Rearm at %1,Rearm at %1,Réarmer à %1,Rearmar en %1,Riarma a %1,Neu bewaffnen bei %1,Перезарядить в: %1,Uzupełnij amunicję %1,Doplň střelivo u %1,Felszerelés feltöltése: %1,%1で再武装
STR_ACTION_LIGHTON,Light on,Light on,Phares,Encender luz,Luci accese,Licht ein,Включить фары,Włącz światła,Rozsvítit světla,Fényszóró be,ライト：オン
STR_ACTION_LIGHTOFF,Light off,Light off,Phares éteints,Apagar luz,Luci spente,Licht aus,Выключить фары,Wyłącz światła,Zhasnout světla,Fényszóró ki,ライト：オフ
STR_ACTION_SEARCHLIGHTS_ON,Searchlight on,Searchlight on,Projecteur allumé,Encender foco,Proiettore attivato,Suchscheinwerfer an,Searchlight on,Szperacz wł.,Světlomet zapnutý,Searchlight on,サーチライト：オン
STR_ACTION_SEARCHLIGHTS_OFF,Searchlight off,Searchlight off,Projecteur éteint,Apagar foco,Proiettore disattivato,Suchscheinwerfer aus,Searchlight off,Szperacz wył.,Světlomet vypnutý,Searchlight off,サーチライト：オフ
STR_ACTION_COLLISIONLIGHTS_ON,Collision lights on,Collision lights on,Feux anti-collision allumés,Encender luces de colisión,Luci anticollisione attivate,Kollisionslichter an,Collision lights on,Światła antykolizyjne wł.,Zapnout kolizní světla,Collision lights on,衝突防止灯：オン
STR_ACTION_COLLISIONLIGHTS_OFF,Collision lights off,Collision lights off,Feux anti-collision éteints,Apagar luces de colisión,Luci anticollisione disattivate,Kollisionslichter aus,Collision lights off,Światła antykolizyjne wył.,Vypnout kolizní světla,Collision lights off,衝突防止灯：オフ
STR_ARTILLERY_COMPUTER,Artillery computer,Artillery computer,Artillery computer,Artillery computer,Artillery computer,Artillery computer,Баллистический вычислитель,Artillery computer,Dělostřelecký počítač,Artillery computer,砲コンピュータ
STR_ACTION_TAKE_CONTROL,Take controls,Take controls,Prendre les commandes,Tomar los controles,Prendi i comandi,Steuerung übernehmen,Take controls,Przejmij stery,Převzít řízení,Take controls,コントロールする
STR_ACTION_SUSPEND_CONTROL,Release controls,Release controls,Commandes désactivées,Soltar controles,Lascia i comandi,Steuerung freigeben,Release controls,Zwolnij stery,Uvolnit řízení,Release controls,コントロール：オフ
STR_ACTION_LOCK_CONTROL,Lock controls,Lock controls,Verrouiller les commandes,Bloquear controles,Blocca i comandi,Steuerung sperren,Lock controls,Zablokuj stery,Uzamknout ovládání,Lock controls,コントロールをロック
STR_ACTION_UNLOCK_CONTROL,Unlock controls,Unlock controls,Déverrouiller les commandes,Desbloquear controles,Sblocca i comandi,Steuerung freigeben,Unlock controls,Odblokuj stery,Odemknout řízení,Unlock controls,コントロール：アンロック
STR_ACTION_WEAPON,Weapon %1,Weapon %1,Arme %1,Arma %1,Arma %1,Waffe %1,Оружие %1,Broń %1,Zbraň %1,Fegyver választás: %1,武器%1
STR_ACTION_MAGAZINE,Reload %1,Reload %1,Recharger %1,Recargar %1,Ricarica %1,Nachladen %1,Перезарядить: %1,Przeładuj %1,Dobít %1,%1 újratöltése,%1を再装填
STR_CFG_TITLES_TVSET,TV Set,TV Set,Téléviseur,Televisor,Set televisivo,Fernseher,Телевизор,Telewizor,Televize,Televízió,TVセット
STR_CFG_CUTSCENES_REFUEL,Refueling,Refueling,Ravitaillement,Repostando,Rifornimento in corso,Auftanken,Дозаправка,Uzupełnianie paliwa,Tankování,Tankolás,燃料補給
STR_CFG_CUTSCENES_REARM,Rearming,Rearming,Réarmement,Recargando,Riarmo in corso,Neu bewaffnen,Перезарядка,Uzupełnianie amunicji,Přezbrojuji,Újratöltés,再武装
STR_CFG_CUTSCENES_REPAIR,Repairing,Repairing,Dépannage,Reparando,Riparazione in corso,Reparieren,Ремонт,Naprawy,Opravování,Javítás,修理
STR_CFG_MUSIC_7TH_LIFELESS,7th - Lifeless,7th - Lifeless,7th - Lifeless,7º - Sin vida,7th - Lifeless,7th - Lifeless,7th - Lifeless,7th - Lifeless,7th. - Lifeless,7. - Mozdulatlan,7th - Lifeless
STR_CFG_SOUNDS_FIRE,Fire,Fire,Tir,Fuego,Fuoco,Schießen,Огонь,Strzał,Oheň,Tűz,射撃
STR_CFG_TITLES_SPHERE,Sphere,Sphere,Sphère,Esfera,Sfera,Gebiet,Сфера,Kula,Koule,Gömb,球体
STR_CFG_TITLES_BISLOGO,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive,Bohemia Interactive
STR_CFG_CAMEFFECTS_AROUND,Around,Around,Autour,Alrededor,Intorno,Umkreisen,Облет,Dookoła,Dokola,Körbe,Around
STR_CFG_CAMEFFECTS_AROUNDSLOW,Around Slow,Around Slow,Autour Lent,Alrededor despacio,Intorno lentam.,Langsam umkreisen,Медленный облет,Powoli dookoła,Dokola pomalu,Lassan körbe,Around Slow
STR_CFG_CAMEFFECTS_ZOOMAROUND,Zoom and Around,Zoom and Around,Zoom et autour,Acercar y alrededor,Zoom e intorno,Zoomen & Umkreisen,Приближение и облет,Zbliżenie i Dookoła,přiblížit a okolo,Zoom és körbe,Zoom and Around
STR_CFG_CAMEFFECTS_AROUNDZOOMSLOW,Around and Zoom Slow,Around and Zoom Slow,Autour & Zoom Lent,Alrededor y acercar despacio,Intorno e zoom lentam.,Umkreisen & langsamer Zoom,Облет и медленное приближение,Dookoła i Powolne zbliżenie,Okolo a zaostřit pomalu,Lassan körbe és zoom,Around and Zoom Slow
STR_CFG_CAMEFFECTS_TERMINATE,Terminate,Terminate,Achever,Terminar,Termina,Beenden,Завершение,Zakończ,Ukončovací,Felfüggeszt,終了
STR_CFG_CAMEFFECTS_INTERNAL,Internal,Internal,Interne,Interno,Interno,Intern,Внутр.,Wewnętrzny,Interní,Belső,内部
STR_CFG_CAMEFFECTS_ZOOMIN,Zoom In,Zoom In,Zoom avant,Acercar,Zoom avanti,Hinzoomen,Приближение,Zbliżenie,Přiblížení,Zoom,Zoom In
STR_CFG_CAMEFFECTS_ZOOMINSLOW,Zoom In Slow,Zoom In Slow,Zoom avant lent,Acercar despacio,Zoom avanti lentam.,Langsam hinzoomen,Медленное приближение,Powolne zbliżenie,Pomalu přiblížit,Lassú zoom,Zoom In Slow
STR_CFG_MARKERCOL_DEFAULT,Default,Default,Par défaut,Predet.,Predefinito,Voreinstellung,По умолчанию,Domyślny,Výchozí,Alapértelmezett,デフォルト
STR_CFG_MARKERS_FLAG,Objective,Objective,Objectif,Objetivo,Obiettivo,Ziel,Цель,Cel,Cíl,Célpont,目標
STR_NAME,Name,Name,Nommer,Nombrar,Nominare,Name,Имя,Nazwa,Název,Név,名前
STR_CFG_MARKERBR_SOLID,Solid,Solid,Solide,Sólido,Solido,Massiv,Сплошная заливка,Twardy,Pevný,Sima,固体
STR_CFG_CAMEFFECTS_FIXED,Fixed,Fixed,Fixe,Fijo,Fisso,Statisch,Фиксированная камера,Nieruchoma,Statická,Rögzített,固定
STR_CFG_CAMEFFECTS_ZOOMINS,Zoom In S,Zoom In S,Zoom en S,Acercar S,Zoom avanti S,Langsam hinzoomen,Медленное приближение,Zbliżenie pow.,Přiblížit na blízko S,Zoom S-ig,Zoom In S
STR_CFG_CAMEFFECTS_EXTERNAL,External,External,Extérieur,Externo,Esterno,Extern,Внешняя камера,Zewnętrzna,Externí,Külső,外部
STR_CFG_CAMEFFECTS_FIXEDZOOM,Fixed (Zoom),Fixed (Zoom),Fixe (zoom),Fijo (Zoom),Fisso (zoom),Statisch (Zoom),Фиксированная камера (масштаб),Nieruchoma (Zbliżenie),Statická (Zaostřit),Rögzített (zoom),固定（ズーム）
STR_NAME_HILL,Hill,Hill,Colline,Colina,Collina,Hügel,Холм,Wzgórze,Kopec,Hegy,丘
STR_NAME_LOCALNAME,Name Local,Name Local,Nom habitant,Nombre de local,Nome locale,Name einheimisch,Название местности,Nazwa lokalu,Místní název,Helyi név,地区の名前
STR_NAME_ROCKAREA,Rock Area,Rock Area,Zone rocheuse,Zona rocosa,Area rocciosa,Felsengebiet,Каменистая местность,Teren skalisty,Skalnatá oblast,Sziklás terület,エリアをロック
STR_NAME_VIEWPOINT,View Point,View Point,Point de vue,Punto de vista,Punto di osservazione,Aussichtspunkt,Точка наблюдения,Punkt obserwacyjny,Vyhlídka,Nézőpont,視点
STR_NAME_CAPITAL,Name Capital,Name Capital,Nom capitale,Nombre de capital,Nome capitale,Name Hauptstadt,Название столицы,Nazwa stolicy,Název hlavního města,Főváros,首都の名前
STR_NAME_MARINE,Name Marine,Name Marine,Nom Marine,Nombre de marine,Nome Marine,Name Marine,Название побережья,Imię marine,Název námořnictva,Tengerészgyalogos név,海軍の名前
STR_NAME_VILLAGE,Name Village,Name Village,Nom village,Nombre de pueblo,Nome villaggio,Name Dorf,Название деревни,Nazwa wsi,Název vesnice,Falu név,村の名前
STR_NAME_CITY,Name City,Name City,Nom ville,Nombre de ciudad,Nome città,Name Stadt,Название города,Nazwa miasta,Název města,Város,市の名前
STR_XBOX_CONTROLER_RS_OPTICS,<img image='\xmisc\ctrl_nextarget.paa'/> Scope/Sights,<img image='\xmisc\ctrl_nextarget.paa'/> Scope/Sights,<img image='\xmisc\ctrl_nextarget.paa'/> Lunette/vues,<img image='\xmisc\ctrl_nextarget.paa'/>Campo de visin/Vistas,<img image='\xmisc\ctrl_nextarget.paa'/> Mirino,<img image='\xmisc\ctrl_nextarget.paa'/> Zielfernrohr/Visier,<img image='\xmisc\ctrl_nextarget.paa'/> Оптика,<img image='\xmisc\ctrl_nextarget.paa'/> Scope/Sights,<img image='\xmisc\ctrl_nextarget.paa'/> Zaměřovač/Mířidla,<img image='\xmisc\ctrl_nextarget.paa'/> Távcső / Irányzék,<img image='\xmisc\ctrl_nextarget.paa'/>視野/光景
STR_XBOX_CONTROLER_RS_STRAFE,<img image='\xmisc\ctrl_strafe.paa'/> Strafe,<img image='\xmisc\ctrl_strafe.paa'/> Strafe,<img image='\xmisc\ctrl_strafe.paa'/> Dplac. latral,<img image='\xmisc\ctrl_strafe.paa'/>Bombardear,<img image='\xmisc\ctrl_strafe.paa'/> Mov. laterale,<img image='\xmisc\ctrl_strafe.paa'/> Seitwärts laufen,<img image='\xmisc\ctrl_strafe.paa'/> Шаг вбок,<img image='\xmisc\ctrl_strafe.paa'/> Strafe,<img image='\xmisc\ctrl_strafe.paa'/> Úkrok,<img image='\xmisc\ctrl_strafe.paa'/> Oldalaz,<img image='\xmisc\ctrl_strafe.paa'/>機銃掃射
